%time,field.header.seq,field.header.stamp,field.header.frame_id,field.position.x,field.position.y,field.position.z,field.velocity.x,field.velocity.y,field.velocity.z,field.acceleration.x,field.acceleration.y,field.acceleration.z,field.orientation.x,field.orientation.y,field.orientation.z,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z
1669909753580221019,17581,1669909753419227905,,-3.210540920558297,-4.328442922448712,0.9992788920600456,0.09100020068130973,-0.06700016360025639,0.028999850341167584,6.9149478931455545e-220,1.627915298517247e-218,1.001930016236351e-217,0.012575153859714305,-0.00823260370403922,0.47115842054889434,-5.199909338627174e-07,1.2952981955953292e-07,6.642524575317119e-07
1669909753681700654,17582,1669909753546250726,,-3.1973720329229436,-4.3304995272867455,0.9989701431028534,0.08900007054296177,-0.06500003393213435,0.028000021043106654,1.2668874197735973e-78,2.4561923511100175e-78,-8.117443782171264e-78,0.014857374290848213,-0.006177256125763364,0.4722897677910787,-5.197354454213908e-07,1.2988624556320557e-07,6.643232333718026e-07
1669909753760816690,17583,1669909753656246797,,-3.185396381475197,-4.332462160053193,1.008980684524513,0.08900007054296177,-0.06500003393213435,0.028000021043106654,5.876597451161006e-216,4.1730176271749384e-215,1.721297529834407e-214,0.016298912204115723,-0.0050162397698727546,0.4725516198287032,-5.195820926878521e-07,1.300130467606019e-07,6.64334485183653e-07
1669909753817799376,17584,1669909753733316083,,-3.1770025396279067,-4.333836705782895,1.0110915119350579,0.08900007054296177,-0.06500003393213435,0.028000021043106654,-2.8500532658098606e-155,-9.315130321925723e-154,-2.5031774442782462e-154,0.017671329314898898,-0.0038772396649058294,0.472708118640897,-5.194662153498565e-07,1.3015566373692056e-07,6.643358377887823e-07
1669909754190277971,17585,1669909753776744308,,-3.173553472263129,-4.33479986796084,1.010348429645885,0.08599998495875771,-0.06399994894017969,0.02699997781936621,-4.586656837315755e-67,-1.233547316076042e-65,-5.268621303994811e-64,0.018843420606462047,-0.0028737425258729132,0.47275351824157674,-5.193377024435176e-07,1.30334143446723e-07,6.642616686355902e-07
1669909754203956933,17586,1669909753974639472,,-3.153421552729582,-4.337837212697355,1.0192414553194658,0.08499998467777505,-0.06199994912378626,0.027999977405013875,3.911105435327599e-293,1.3322346552842783e-293,4.668885314243871e-292,0.020802035733915147,-0.0009447941486886435,0.47109223832004865,-5.191847686452781e-07,1.3063479556498448e-07,6.63773670671023e-07
1669909754276734708,17587,1669909754110830926,,-3.142405899786167,-4.339476283967843,1.0219649343915436,0.07899998440551813,-0.0569999493450352,0.02799997700352903,0.0,0.0,0.0,0.02197032610862415,0.0005698657512898109,0.4674247501643869,-5.191496964553093e-07,1.3081978227207395e-07,6.630459971262092e-07
1669909754429692117,17588,1669909754254625246,,-3.13091649097177,-4.340677328584572,1.019227737117939,0.0749999842128988,-0.05199994953221542,0.0269999767194821,-2.0853057323008302e-44,-3.280527062164016e-43,-1.4508667751164806e-41,0.022639631864757703,0.0014966675208043512,0.46305613357795394,-5.191747049496228e-07,1.3092878519813062e-07,6.622106934188815e-07
1669909754593259833,17589,1669909754402373135,,-3.1189851436995286,-4.342508539884456,1.0292157028956537,0.0719999840852853,-0.04999994972264668,0.025999976531296272,0.0,0.0,0.0,0.02277155711477441,0.0020501696796806357,0.4577373046070541,-5.192998412291683e-07,1.3097294771267998e-07,6.61317620650246e-07
1669909754773106309,17590,1669909754559698001,,-3.1067821004165013,-4.344477046115789,1.029399488219951,0.06899998398041984,-0.04799994997153428,0.02599997637665598,-3.732524818897402e-140,-6.864911137786186e-139,-1.0577542740464536e-138,0.021969315334416706,0.002466632094046517,0.4506517719979719,-5.196445954891437e-07,1.3102395974236424e-07,6.600745473469475e-07
1669909754895538432,17591,1669909754745057254,,-3.094540393486703,-4.34560714074241,1.0325678061817465,0.06400071249555062,-0.04200082449944385,0.025999976284505524,0.0,0.0,0.0,0.020283486531376127,0.002797393543630733,0.44304044971369194,-5.200540160353454e-07,1.3108248120951678e-07,6.588907872987865e-07
1669909755259937098,17592,1669909754862811620,,-3.0876031251438585,-4.347041949658992,1.0391328739692949,0.05899998391467118,-0.03999995048657988,0.02599997627969943,-5.5708002271115276e-139,-1.0867507561394322e-141,-3.0537288296824375e-140,0.018970826780439154,0.002897784304028761,0.4382266528533556,-5.203054642884195e-07,1.3107116905693168e-07,6.582093842998125e-07
1669909755298913158,17593,1669909754991997101,,-3.079717955027789,-4.348701549329747,1.0401172986923002,0.056000115361356545,-0.03899999444439307,0.02599997634820159,0.0,0.0,0.0,0.017931372168245474,0.0028866022342199926,0.43366539016613004,-5.204558562902453e-07,1.3106327026982662e-07,6.575142167754832e-07
1669909755298992458,17594,1669909755113657701,,-3.071513408743939,-4.35020560896943,1.0411836507407002,0.056000115361356545,-0.03899999444439307,0.02599997634820159,5.061963141029399e-145,-5.8767646071554374e-145,-1.316027344990471e-142,0.01719613796373487,0.002668159336614906,0.427885840759453,-5.205523511462961e-07,1.3099872064919256e-07,6.566395641131016e-07
1669909755299118945,17595,1669909755157338832,,-3.0685701664719423,-4.350756844741083,1.042283343655491,0.056000115361356545,-0.03899999444439307,0.02599997634820159,-4.69166313564052e-154,-1.6884583547419121e-153,-3.9063569263191156e-155,0.017137206073480016,0.0025723186475303805,0.4267067165963816,-5.205496512797762e-07,1.3097205506569855e-07,6.564738690548452e-07
1669909755365012696,17596,1669909755188427575,,-3.068993916100309,-4.35052856784978,1.0485909127704687,0.051000274359722986,-0.03500018309852477,0.024000092651345402,4.3809261135253494e-68,-2.4096012906497174e-65,-4.126832488176097e-63,0.017111220170601626,0.0024264055888405522,0.42540119593130576,-5.205779241162473e-07,1.309329547950506e-07,6.562135462323461e-07
1669909755451549650,17597,1669909755333496577,,-3.0601306549369314,-4.3521643257958615,1.0512331785720788,0.051000274359722986,-0.03500018309852477,0.024000092651345402,2.0121503525875773e-79,4.2491526056516153e-78,6.339358722292201e-79,0.017368359520574472,0.0015537696067937645,0.42096031903930786,-5.205615563542056e-07,1.3077273515275185e-07,6.556632284903511e-07
1669909755635145880,17598,1669909755408536096,,-3.05793408601731,-4.354629620820338,1.050771200324435,0.04499998421405401,-0.035999951036500895,0.023999976721185645,1.3317900304803817e-146,1.5763998659991213e-144,-2.90611401287302e-144,0.01760004822746275,0.001029343523693882,0.41918616134923425,-5.205542571916686e-07,1.3069112515732866e-07,6.554759582962883e-07
1669909755756554815,17599,1669909755576086606,,-3.051198930363557,-4.357251290409296,1.0593813581571851,0.03999998429748627,-0.033999951182622785,0.02399997684421938,-5.016926206940602e-67,-1.647876970530581e-64,1.6660057776420873e-63,0.01807759215334137,-0.00025365918599007387,0.41685259226084526,-5.205420750630344e-07,1.304729394144677e-07,6.55299020411091e-07
1669909755903676198,17600,1669909755734223252,,-3.0454883342860466,-4.360686652653086,1.0608252759974284,0.034999984330742195,-0.03399995126211794,0.023999976893260378,1.55880527097674e-80,-2.4203460172479512e-80,-3.4767025655101083e-81,0.018481862763184864,-0.0012901906236546523,0.41577307633527383,-5.205863942178674e-07,1.3036175348210732e-07,6.552243116143881e-07
1669909756003072429,17601,1669909755855898605,,-3.0420092925920232,-4.362689751521291,1.0613530621937293,0.03099998432807783,-0.031999951284053696,0.021999976889331363,1.0301739633323478e-297,-1.6817639066461345e-295,7.628756801963657e-293,0.01844058546008931,-0.0023951721791437564,0.4149890308666784,-5.207177263340079e-07,1.3021143973346735e-07,6.551503011423776e-07
1669909756291630155,17602,1669909755970252354,,-3.0389974725984295,-4.363981405858024,1.0686178349233848,0.028000123693723657,-0.02900009063879036,0.021000023332483884,0.0,0.0,0.0,0.01844627744583427,-0.003234229277879308,0.4143058600692715,-5.207590415344402e-07,1.3009329512097032e-07,6.550098138265685e-07
